Heart Beat Second Year ,Heart Beat Third Year 
45,75
77,65
67,65
78,70
100,72
59,65
88,80
70,80
84,70
70,69
78,60
52,75
75,73
90,67
67,75
70,80
70,75
65,80
112,55
60,80
94,79
78,80
90,80
77,80
79,80
53,80
65,70
75,80
78,48
60,70
70,74
70,62
73,80
67,80
82,113
64,63
91,56
52,80
103,70
76,60
78,68
53,65
65,61
58,73
70,80
59,88
64,74
70,75
76,66
78,69
64,71
84,60
70,80
80,67
80,80
86,50
85,46
70,80
65,75
76,67
76,60
56,69
60,70
66,56
70,63
100,89
76,80
63,60
80,70
80,85
70,60
65,65
64,75
72,72
62,70
62,56
68,80
88,79
80,102
55,93
80,68
52,60
81,80
75,90
56,80
72,80
82,80
75,66
65,75
72,75
80,66
80,66
60,73
80,78
72,80
62,80
80,74
72,89
70,60
80,86
64,68
60,88
74,66
80,68
90,72
80,53
81,82
75,81
60,65
80,68
80,79
76,72
80,80
76,90
72,70
58,70
52,53
80,100
76,60
82,70
80,68
64,100
80,80
87,75
70,80
100,80
88,70
67,66
76,66
64,70
61,89
72,72
80,78
62,95
80,89
70,70
